;;x;y;fx;fy
;;87;-130;326;0
;;91;-130;292;0
;;94;-130;292;0
;;102;-130;292;0
;;105;-130;292;0
;;112;-130;183;0
;;115;-130;183;0
;;115;-130;183;0
;;120;-130;183;0
;;122;-130;183;0
;;125;-130;183;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-130;0;0
;;127;-127;0;242
;;127;-123;0;242
;;127;-116;-65;242
;;127;-112;-65;242
;;127;-109;-65;242
;;127;-107;-65;102
;;127;-107;-65;102
;;127;-107;-65;102
;;123;-107;-152;102
;;121;-107;-152;102
;;116;-107;-152;0
;;114;-107;-152;0
;;111;-107;-233;0
;;107;-107;-233;0
;;103;-107;-233;0
;;100;-106;-233;222
;;93;-99;-233;222
;;90;-96;-200;222
;;87;-93;-200;222
;;80;-87;-200;224
;;77;-84;-200;224
;;74;-80;-200;224
;;68;-74;-212;224
;;64;-71;-212;224
;;61;-68;-212;212
;;58;-64;-212;212
;;55;-61;-212;212
;;48;-55;-217;212
;;45;-52;-217;212
;;39;-45;-217;216
;;36;-42;-217;216
;;33;-39;-217;216
;;29;-36;-190;216
;;23;-29;-190;216
;;20;-26;-190;229
;;17;-23;-190;229
;;13;-20;-190;229
;;9;-13;-139;229
;;7;-10;-139;229
;;5;-7;-139;307
;;4;-3;-139;307
;;2;0;-139;307
;;0;8;-115;307
;;-2;12;-115;307
;;-3;16;-115;274
;;-5;21;-115;274
;;-6;26;-115;274
;;-9;35;-118;274
;;-11;40;-118;274
;;-13;43;-118;89
;;-14;43;-118;89
;;-17;43;-141;89
;;-19;43;-141;89
;;-21;43;-141;89
;;-25;43;-141;0
;;-27;43;-141;0
;;-29;43;-141;0
;;-31;43;-204;0
;;-37;43;-204;59
;;-40;43;-204;59
;;-43;43;-204;59
;;-46;43;-204;59
;;-49;43;-169;59
;;-51;43;-169;59
;;-56;47;-169;233
;;-61;54;-169;233
;;-63;58;-169;233
;;-65;62;-153;233
;;-67;66;-153;233
;;-71;70;-153;157
;;-73;72;-153;157
;;-75;74;-153;157
;;-76;76;-89;157
;;-76;78;-89;157
;;-76;82;-89;124
;;-76;83;-89;124
;;-76;85;-89;124
;;-76;87;-71;124
;;-76;90;-71;180
;;-76;93;-71;180
;;-76;96;-71;180
;;-76;98;-71;180
;;-76;103;-66;180
;;-76;105;-66;0
;;-76;105;-66;0
;;-76;105;-66;0
;;-76;105;-66;0
;;-78;105;-113;0
;;-79;105;-113;0
;;-81;105;-113;0
;;-82;105;-113;0
;;-85;105;-154;-28
;;-88;105;-154;-28
;;-90;105;-154;-28
;;-95;105;-154;-28
;;-97;105;-154;0
;;-99;105;-113;0
;;-102;105;-113;0
;;-104;105;-113;0
;;-105;105;-113;0
;;-107;105;-113;0
;;-108;105;-113;0
;;-109;105;-77;0
;;-109;105;-77;0
;;-109;109;-77;135
;;-109;111;-77;135
;;-109;112;-77;135
;;-109;116;-50;135
;;-109;119;-50;185
;;-109;121;-50;185
;;-109;126;-50;185
;;-109;129;-50;185
;;-109;130;0;185
;;-109;130;0;0
;;-109;130;0;0
;;-109;128;0;-158
;;-109;126;0;-158
;;-109;122;0;-158
;;-109;120;0;-158
;;-109;118;0;-158
;;-109;117;0;-72
;;-109;117;0;-72
;;-109;117;0;-72
;;-109;117;0;-72
;;-109;117;0;-72
;;-109;117;0;0
;;-109;117;0;0
;;-108;117;265;0
;;-99;117;265;0
;;-94;117;265;0
;;-85;117;265;0
;;-80;117;380;0
;;-76;117;380;0
;;-69;117;380;0
;;-66;117;380;0
;;-62;117;380;0
;;-58;117;380;0
;;-51;117;356;0
;;-48;117;356;0
;;-44;117;356;0
;;-40;117;356;0
;;-33;117;385;0
;;-29;117;385;0
;;-26;117;385;0
;;-22;117;385;0
;;-18;117;385;0
;;-11;117;420;0
;;-7;117;420;0
;;-4;117;420;0
;;0;117;420;0
;;3;117;420;0
;;6;117;420;0
;;14;117;443;0
;;21;117;443;0
;;25;117;443;0
;;28;117;443;0
;;32;117;443;0
;;36;117;453;0
;;39;117;453;0
;;43;117;453;0
;;50;117;453;0
;;54;117;453;0
;;61;117;415;0
;;65;117;415;0
;;68;117;415;0
;;76;117;415;0
;;79;117;321;0
;;83;117;321;0
;;87;117;321;0
;;90;117;321;0
;;94;117;321;0
;;97;117;321;0
;;104;117;176;0
;;109;117;176;0
;;111;117;176;0
;;114;117;176;0
;;116;117;176;0
;;117;117;81;0
;;117;117;81;0
;;117;117;81;0
;;117;117;81;0
;;117;117;81;0
;;117;117;40;0
;;117;117;40;0
;;117;117;40;0
;;117;117;40;0
;;117;117;0;0
