;;x;y;fx;fy;;;;;
;;64;-49;-226;218;;;;;
;;61;-46;-226;218;;;;;
;;55;-40;-226;218;;;;;
;;51;-37;-226;218;;;;;
;;48;-33;-226;218;;;;;
;;45;-30;-226;152;;;;;
;;42;-28;-225;152;;;;;
;;35;-24;-225;152;;;;;
;;32;-22;-225;152;;;;;
;;25;-18;-225;230;;;;;
;;22;-15;-197;230;;;;;
;;19;-11;-197;230;;;;;
;;16;-8;-197;230;;;;;
;;13;-5;-197;230;;;;;
;;6;0;-197;230;;;;;
;;3;4;-197;290;;;;;
;;1;8;-152;290;;;;;
;;-1;13;-152;290;;;;;
;;-5;22;-152;290;;;;;
;;-7;26;-152;290;;;;;
;;-9;30;-152;225;;;;;
;;-13;37;-131;225;;;;;
;;-13;37;-131;225;;;;;
;;-16;43;-131;225;;;;;
;;-18;46;-131;225;;;;;
;;-20;49;-131;165;;;;;
;;-24;54;-152;165;;;;;
;;-26;57;-152;165;;;;;
;;-28;59;-152;165;;;;;
;;-32;63;-152;0;;;;;
;;-35;63;-219;0;;;;;
;;-39;63;-219;0;;;;;
;;-42;63;-219;0;;;;;
;;-50;63;-219;0;;;;;
;;-54;63;-219;143;;;;;
;;-57;65;-280;143;;;;;
;;-62;67;-280;143;;;;;
;;-71;71;-280;143;;;;;
;;-81;75;-280;233;;;;;
;;-85;80;-207;233;;;;;
;;-88;83;-207;233;;;;;
;;-94;89;-207;233;;;;;
;;-98;93;-207;233;;;;;
;;-101;96;-207;184;;;;;
;;-107;101;-179;184;;;;;
;;-107;101;-179;184;;;;;
;;-112;106;-179;184;;;;;
;;-114;108;-179;184;;;;;
;;-117;111;-179;197;;;;;
;;-119;114;-179;197;;;;;
;;-122;121;-123;197;;;;;
;;-124;124;-123;197;;;;;
;;-127;130;-123;197;;;;;
;;-127;130;-123;197;;;;;
;;-129;130;0;-89;;;;;
;;-129;130;0;-89;;;;;
;;-129;130;0;-89;;;;;
;;-129;130;0;-89;;;;;
;;-129;130;0;-89;;;;;
